component,class,bigg_hint,scenario_min,scenario_proxy,scenario_rich,note
sucrose,carbon_primary,EX_sucr_e,FIT,FIT,FIT,"4 g/L; ONLY carbon entry. sucrose->glc+fru via invertase (SUC2-type) with enzyme+transport cost so uptake is T-sensitive. Do NOT also open free glc/fru/maltose."
maltose,carbon_malt,EX_malt_e,0,LOW_POOL,LOW_POOL,"malt-derived hexose; separate budgeted scenario only; counts against total hexose-equiv C budget (avoid double-count with sucrose)"
amino_acids_POOLED,amino_acid_pool,pool_constraint,0,CAA_LOW/NAA_LOW,CAA_HIGH/NAA_HIGH,"POOLED budget, NOT 20 independent caps: sum_i nC_i*v_i <= C_AA_max and sum_i nN_i*v_i <= N_AA_max. Relative AA ratios from documented yeast-extract composition. Each AA enters via a permease with GPR + kcat(T) cost."
biotin,vitamin,EX_btn_e,OPEN,OPEN,OPEN,"trace"
thiamine,vitamin,EX_thm_e,OPEN,OPEN,OPEN,"trace"
pyridoxine,vitamin,EX_pydxn_e,OPEN,OPEN,OPEN,"trace"
pantothenate,vitamin,EX_pnto__R_e,OPEN,OPEN,OPEN,"trace"
nicotinate,vitamin,EX_nac_e,OPEN,OPEN,OPEN,"trace"
riboflavin,vitamin,EX_ribflv_e,OPEN,OPEN,OPEN,"trace"
folate,vitamin,EX_fol_e,OPEN,OPEN,OPEN,"trace"
myo-inositol,vitamin,EX_inost_e,OPEN,OPEN,OPEN,"trace"
ammonium,nitrogen,EX_nh4_e,OPEN,OPEN,OPEN,"inorganic N; in scenario_min it is the ONLY N source (forces full AA biosynthesis)"
phosphate,mineral,EX_pi_e,OPEN,OPEN,OPEN,"not limiting"
sulfate,mineral,EX_so4_e,OPEN,OPEN,OPEN,"not limiting"
potassium,mineral,EX_k_e,OPEN,OPEN,OPEN,"not limiting"
magnesium,mineral,EX_mg2_e,OPEN,OPEN,OPEN,"not limiting"
iron2,mineral,EX_fe2_e,OPEN,OPEN,OPEN,"trace"
oxygen,gas,EX_o2_e,OPEN,OPEN,OPEN,"aerobic; not limiting"
water,exchange,EX_h2o_e,OPEN,OPEN,OPEN,"free"
proton,exchange,EX_h_e,OPEN,OPEN,OPEN,"free"
CO2,exchange,EX_co2_e,OPEN,OPEN,OPEN,"secretion allowed"
